briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
Glycerol proton symporter of the plasma membrane,"Glycerol proton symporter of the plasma membrane; subject to glucose-induced inactivation, strongly but transiently induced when cells are subjected to osmotic shock",Solute:proton symporter involved in glycerol transport; localizes to the plasma membrane,chrIV,YDR536W,STL1,"Non-essential gene; null mutant is sensitive to heat; overexpression increases respiratory growth rate; in systematic studies null mutation lowers competitive fitness
",1,1509714,1508005,STL1
Glycerophosphocholine acyltransferase (GPCAT),Glycerophosphocholine acyltransferase (GPCAT); involved in in phosphatidylcholine (PC) synthesis; uses acyl-CoA to acylate glycero-3-phosphocholine to yield lyso-PC; also catalyzes acylation of glycerophosphoethanolamine with acyl-CoA; predicted to be an integral membrane protein,Glycero-3-phosphocholine acyltransferase involved in phosphatidylcholine biosynthesis; localizes to the endoplasmic reticulum and cell periphery in a high-throughput study,chrVII,YGR149W,GPC1,,1,790329,789031,GPC1
Glycerophosphocholine (GroPCho) phosphodiesterase,"Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes",Cytoplasmic glycerophosphocholine phosphodiesterase involved in glycerophospholipid catabolism,chrXVI,YPL110C,GDE1,,-1,344739,341068,GDE1
"Glycine-tRNA synthetase, not expressed under normal growth conditions","Glycine-tRNA synthetase, not expressed under normal growth conditions; expression is induced under heat, oxidative, pH, or ethanol stress conditions; more stable than the major glycine-tRNA synthetase Grs1p at 37 deg C; GRS2 has a paralog, GRS1, that arose from the whole genome duplication",,chrXVI,YPR081C,GRS2,,-1,703970,702114,GRS2
Glycine tRNA (tRNA-Gly),Glycine tRNA (tRNA-Gly); can mutate to suppress +1 frameshift mutations,,chrX,tG(GCC)J2,SUF23,,1,531898,531828,SUF23
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrX,tG(GCC)J1,,,-1,396796,396726,tG(GCC)J1
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrXIII,tG(GCC)M,,,-1,183968,183898,tG(GCC)M
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrXV,tG(GCC)O1,,,-1,226681,226611,tG(GCC)O1
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrXVI,tG(GCC)P1,,,1,572339,572269,tG(GCC)P1
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrXVI,tG(GCC)P2,,,1,860449,860379,tG(GCC)P2
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrII,tG(GCC)B,,,-1,197699,197629,tG(GCC)B
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrIV,tG(GCC)D1,,,1,83618,83548,tG(GCC)D1
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrIV,tG(GCC)D2,,,1,992902,992832,tG(GCC)D2
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrV,tG(GCC)E,,,-1,61960,61890,tG(GCC)E
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrVI,tG(GCC)F2,,,-1,181044,180974,tG(GCC)F2
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrVII,tG(GCC)G1,,,1,845719,845649,tG(GCC)G1
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis",,chrVII,tG(GCC)G2,,,-1,931023,930953,tG(GCC)G2
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons",,chrXIV,tG(UCC)N,SUF6,,-1,96312,96241,SUF6
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons",,chrXV,tG(CCC)O,SUF5,,-1,594425,594354,SUF5
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons",,chrXV,tG(GCC)O2,SUF17,,1,282234,282164,SUF17
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons",,chrXV,tG(UCC)O,SUF1,,-1,111033,110962,SUF1
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons",,chrIV,tG(CCC)D,SUF3,,-1,1257079,1257008,SUF3
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons",,chrVI,tG(GCC)F1,SUF20,,1,162298,162228,SUF20
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis; can mutate to suppress +1 frameshift mutations in glycine codons",,chrVII,tG(UCC)G,SUF4,,1,779687,779616,SUF4
"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis","Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis;can mutate to suppress +1 frameshift mutations in glycine codons",,chrIII,tG(GCC)C,SUF16,,-1,142771,142701,SUF16
"Glycogen branching enzyme, involved in glycogen accumulation","Glycogen branching enzyme, involved in glycogen accumulation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress; glycogen accumulation defect of the null mutant is functionally complemented by human GBE1, which is associated with glycogen storage disease","Cytoplasmic 1,4-alpha-glucan branching enzyme involved in glycogen biosynthesis",chrV,YEL011W,GLC3,,1,135234,133120,GLC3
Glycogen debranching enzyme,"Glycogen debranching enzyme; contains glucanotranferase and alpha-1,6-amyloglucosidase activities; required for glycogen degradation; phosphorylated in mitochondria; activity is inhibited by Igd1p; protein abundance increases in response to DNA replication stress",,chrXVI,YPR184W,GDB1,,1,906654,902044,GDB1
Glycogenin glucosyltransferase,"Glycogenin glucosyltransferase; self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; similar to mammalian glycogenin; GLG2 has a paralog, GLG1, that arose from the whole genome duplication",Cytoplasmic glycogenin glucosyltransferase involved in glycogen biosynthesis,chrX,YJL137C,GLG2,,-1,156127,154985,GLG2
Glycogenin glucosyltransferase,"Glycogenin glucosyltransferase; self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole respectively; similar to mammalian glycogenin; GLG1 has a paralog, GLG2, that arose from the whole genome duplication",Glycogenin glucosyltransferase involved in glycogen biosynthesis,chrXI,YKR058W,GLG1,,1,554620,552770,GLG1
Glycogen phosphorylase required for the mobilization of glycogen,Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; phosphorylation by Cdc28p may coordinately regulate carbohydrate metabolism and the cell cycle; expression is regulated by stress-response elements and by the HOG MAP kinase pathway,,chrXVI,YPR160W,GPH1,,1,864014,861306,GPH1
Glycogen synthase,"Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress",Glycogen synthase involved in glycogen biosynthesis; localizes to cytoplasm and mitochondria,chrVI,YFR015C,GSY1,,-1,176391,174265,GSY1
Glycogen synthase,"Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase; GSY2 has a paralog, GSY1, that arose from the whole genome duplication; relocalizes from cytoplasm to plasma membrane upon DNA replication stress",,chrXII,YLR258W,GSY2,,1,662833,660716,GSY2
Glycogen synthase kinase 3 (GSK-3) homolog,"Glycogen synthase kinase 3 (GSK-3) homolog; one of four GSK-3 homologs in S. cerevisiae that function to activate Msn2p-dependent transcription of stress responsive genes and that function in protein degradation; MRK1 has a paralog, RIM11, that arose from the whole genome duplication",,chrIV,YDL079C,MRK1,,-1,314748,312951,MRK1
Glycolytic enzyme phosphoglucose isomerase,Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation,"Phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; involved in gluconeogenesis and glycolysis; localizes to the mitochondrion, and additionally to the cytoplasm and plasma membrane in high-throughput studies",chrII,YBR196C,PGI1,,-1,613900,612236,PGI1
Glycoprotein involved in cell wall beta-glucan assembly,"Glycoprotein involved in cell wall beta-glucan assembly; null mutation leads to severe growth defects, aberrant multibudded morphology, and mating defects",,chrX,YJL174W,KRE9,,1,95922,95092,KRE9
Glycoprotein subunit of transmembrane ring of nuclear pore complex,"Glycoprotein subunit of transmembrane ring of nuclear pore complex; contributes to nucleocytoplasmic transport, nuclear pore complex (NPC) biogenesis and spindle pole body duplication; homologous to human NUP210",Subunit of nuclear pore transmembrane ring involved in nuclear pore organization and nucleocytoplasmic transport; contributes to spindle pole body duplication,chrXIII,YMR129W,POM152,,1,531817,527804,POM152
Glycosylated integral ER membrane protein of unknown function,Glycosylated integral ER membrane protein of unknown function; forms an ER-membrane associated protein complex with Emp65p; member of the SUN-like family of proteins; genetic interactions suggest a role in folding of ER membrane proteins; required for nuclear envelope localization of Mps3p,,chrXV,YOR154W,SLP1,,1,626492,624729,SLP1
Glycosylated integral membrane protein localized to plasma membrane,"Glycosylated integral membrane protein localized to plasma membrane; plays a role in fructose-1,6-bisphosphatase (FBPase) degradation; involved in FBPase transport from the cytosol to Vid (vacuole import and degradation) vesicles; VID22 has a paralog, ENV11, that arose from the whole genome duplication",,chrXII,YLR373C,VID22,,-1,871367,868662,VID22
"Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I","Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I; involved in GPI anchor biosynthesis, requires Pbn1p for function; homolog of mammalian PIG-M",Subunit of glycosylphosphatidylinositol-mannosyltransferase I complex involved in cell wall organization via GPI anchor biosynthesis,chrX,YJR013W,GPI14,,1,461593,460382,GPI14
Glycosylphosphatidylinositol-dependent cell wall protein,Glycosylphosphatidylinositol-dependent cell wall protein; expression is periodic and decreases in respone to ergosterol perturbation or upon entry into stationary phase; depletion increases resistance to lactic acid,Protein whose biological role is unknown; localizes to the cell wall,chrXIV,YNL300W,TOS6,,1,66052,65744,TOS6
Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase,Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase; required for proper cell separation after cytokinesis; expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner,,chrXIV,YNL327W,EGT2,,1,27173,24048,EGT2
Glycosyltransferase involved in protein glycosylation,"Glycosyltransferase involved in protein glycosylation; transfers GDP-mannose to methyl-alpha-mannoside in vitro; member of the KRE2/MNT1 mannosyltransferase family of type II membrane proteins with a short cytoplasmic N-terminus, a membrane-spanning region and a highly conserved catalytic lumenal domain",,chrII,YBR199W,KTR4,,1,620303,618909,KTR4
Glyoxylate reductase,Glyoxylate reductase; acts on glyoxylate and hydroxypyruvate substrates; YPL113C is not an essential gene,,chrXVI,YPL113C,,,-1,337143,335953,YPL113C
Glyoxylate reductase,"Glyoxylate reductase; null mutation results in increased biomass after diauxic shift; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress","Glyoxylic acid reductase involved in glyoxylate catabolism; localizes to cytoplasm, mitochondria, and nucleus",chrXIV,YNL274C,GOR1,,-1,122170,121118,GOR1
GMP synthase,"GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools, defects in general protein synthesis, and impaired translation of GCN4 mRNA",Glutamine-hydrolyzing guanosine monophosphate synthetase involved in GMP biosynthesis,chrXIII,YMR217W,GUA1,,1,703367,701790,GUA1
